Date,WCS- Sales_Accessories,Ordered Units_Accessories,Ship Charge_Accessories,Ship Tax Amount_Accessories,Tax Amount_Accessories,Total Shipping Cost_Accessories,Discount_Accessories,WCS- Sales_Footwear,Ordered Units_Footwear,Ship Charge_Footwear,Ship Tax Amount_Footwear,Tax Amount_Footwear,Total Shipping Cost_Footwear,Discount_Footwear,WCS- Sales_Apparel,Ordered Units_Apparel,Ship Charge_Apparel,Ship Tax Amount_Apparel,Tax Amount_Apparel,Total Shipping Cost_Apparel,Discount_Apparel,WCS- Sales_Custom,Ordered Units_Custom,Ship Charge_Custom,Ship Tax Amount_Custom,Tax Amount_Custom,Total Shipping Cost_Custom,Discount_Custom,WCS- Sales_Equipment,Ordered Units_Equipment,Ship Charge_Equipment,Ship Tax Amount_Equipment,Tax Amount_Equipment,Total Shipping Cost_Equipment,Discount_Equipment,WCS- Sales_Other,Ordered Units_Other,Ship Charge_Other,Ship Tax Amount_Other,Tax Amount_Other,Total Shipping Cost_Other,Discount_Other, # of Orders , # of Page Views ,YoY Product Views %,YoY Units %,YoY Sales USD %,YoY Visitors %,YoY Page Views %,YoY Avg. Unit Retail %, # of Product Views , # of Units , # of Visitors , Sales (USD) ,YoY Avg. Order Value %,Conversion Rate,YoY Conv Rate %,YoY Orders %, AUR , AOV 
2016-09-18," $2,053 ", 117 , 473 , 1 , 218 , 474 ,-17.7184375," $65,728 ", 474 ," 4,355 ", 19 ," 4,416 "," 4,374 ",-66.42254902," $8,299 ", 86 , 479 , 1 , 664 , 480 ,-32.97852941, $24 , 1 , 4 , -   , 2 , 4 ,-3.98, $78 , 2 , 22 , -   , 9 , 22 ,-10.95,,,,,,,,495,"317,090",,-3.81%,7.43%,17.88%,-20.34%,11.69%, -   ,656,"79,567"," $76,021.44 ",7.87%,0.62%,-0.155072201,-0.004024145, $115.89 , $153.58 
2016-09-19," $1,697 ", 78 , 391 , 0 , 109 , 391 ,-21.8416," $83,219 ", 618 ," 5,913 ", 29 ," 5,762 "," 5,942 ",-87.08575221," $5,832 ", 67 , 346 , -   , 494 , 346 ,-34.12653846, $208 , 8 , 16 , -   , 15 , 16 ,-7.965, $259 , 4 , 26 , -   , 17 , 26 ,-8.176,,,,,,,,584,"270,493",,1.93%,7.25%,-8.66%,-25.75%,5.22%, -   ,741,"59,227"," $89,450.40 ",-0.10%,0.99%,0.175341334,0.073529412, $120.72 , $153.17 
2016-09-20," $1,142 ", 66 , 299 , -   , 87 , 299 ,-18.01652174," $77,137 ", 562 ," 5,191 ", 23 ," 5,600 "," 5,215 ",-83.72651376," $4,391 ", 84 , 402 , 1 , 282 , 403 ,-41.63208333, $120 , 6 , 42 , -   , 11 , 42 ,-9.546, $174 , 3 , 22 , -   , 16 , 22 ,-12.4,,,,,,,,516,"280,523",,-7.85%,6.41%,-0.91%,-23.26%,15.48%, -   ,669,"63,533"," $79,349.89 ",1.67%,0.81%,0.056274057,0.046653144, $118.61 , $153.78 
2016-09-21," $2,019 ", 114 , 599 , 1 , 151 , 600 ,-23.02758621," $70,652 ", 524 ," 4,977 ", 41 ," 5,237 "," 5,018 ",-78.77713043," $4,694 ", 84 , 394 , 1 , 343 , 395 ,-31.3471875, $178 , 7 , 27 , 1 , 11 , 28 ,-3.618, $93 , 3 , 14 , -   , 4 , 14 ,-23.37,,,,,,,,504,"269,915",,-11.70%,-5.94%,-12.78%,-33.70%,6.52%, -   ,672,"61,998"," $73,752.19 ",0.40%,0.81%,0.074094368,-0.063197026, $109.75 , $146.33 
2016-09-22, $953 , 74 , 414 , -   , 107 , 414 ,-22.03814815," $64,587 ", 482 ," 4,451 ", 36 ," 4,755 "," 4,488 ",-81.12945946," $7,403 ", 100 , 597 , 3 , 527 , 601 ,-77.40035714, $65 , 3 , 17 , -   , 2 , 17 ,-9.695, $282 , 4 , 31 , -   , 22 , 31 ,-10.28666667,,,,,,,,493,"286,406",,0.95%,2.27%,-17.00%,-27.75%,1.31%, -   ,640,"66,565"," $71,152.82 ",-3.12%,0.74%,0.271916117,0.055674518, $111.18 , $144.33 
2016-09-23," $1,137 ", 70 , 385 , 1 , 88 , 385 ,-19.40375," $79,271 ", 602 ," 5,478 ", 21 ," 5,512 "," 5,497 ",-107.2148515," $4,987 ", 80 , 546 , 2 , 348 , 548 ,-37.28066667, $17 , 1 , 5 , -   , -   , 5 ,-10.58, $38 , 1 , 12 , -   , -   , 12 ,-17.45,,,,,,,,576,"339,741",,3.13%,21.94%,16.44%,-9.72%,18.24%, -   ,725,"79,359"," $83,624.82 ",-2.20%,0.73%,0.07075082,0.246753247, $115.34 , $145.18 
2016-09-24," $1,109 ", 100 , 560 , -   , 98 , 560 ,-24.12607143," $69,480 ", 513 ," 4,756 ", 15 ," 4,651 "," 4,771 ",-81.80740385," $6,427 ", 72 , 449 , 1 , 418 , 449 ,-42.66178571, $164 , 7 , 32 , -   , 11 , 32 ,-10.61666667," $1,018 ", 8 , 80 , -   , 71 , 80 ,-18.60833333,,,,,,,,538,"323,331",,14.38%,28.28%,13.18%,-14.65%,12.15%, -   ,676,"74,911"," $77,515.22 ",-1.29%,0.72%,0.148177512,0.299516908, $114.67 , $144.08 
2016-09-25," $1,223 ", 87 , 457 , 2 , 143 , 459 ,-19.98821429," $80,238 ", 572 ," 5,457 ", 33 ," 5,498 "," 5,490 ",-90.91107143," $9,158 ", 134 , 707 , 2 , 551 , 708 ,-56.6183871, $115 , 5 , 29 , 1 , 8 , 30 ,-6.18, $191 , 3 , 32 , -   , 21 , 32 ,-46.45,,,,,,,,591,"372,637",,3.16%,7.26%,4.18%,-21.53%,3.97%, -   ,783,"85,407"," $89,881.04 ",-3.27%,0.69%,0.064313133,0.108818011, $114.79 , $152.08 
2016-09-26," $1,637 ", 122 , 612 , 1 , 157 , 613 ,-27.19321429," $83,955 ", 622 ," 6,055 ", 33 ," 5,884 "," 6,089 ",-110.326," $8,109 ", 105 , 651 , 2 , 598 , 653 ,-53.03371429,,,,,,,, $109 , 2 , 15 , -   , 9 , 15 ,-22.965,,,,,,,,631,"329,393",,8.53%,17.75%,-2.58%,-21.25%,8.49%, -   ,814,"75,708"," $91,666.64 ",-0.54%,0.83%,0.215264513,0.183864916, $112.61 , $145.27 
2016-09-27," $2,187 ", 119 , 555 , 2 , 230 , 556 ,-25.19735294," $98,132 ", 708 ," 6,353 ", 43 ," 6,773 "," 6,395 ",-103.009322," $8,240 ", 98 , 435 , 1 , 656 , 436 ,-43.25470588, $262 , 10 , 7 , -   , 21 , 7 ,-4.625, $602 , 8 , 74 , -   , 58 , 74 ,-11.6125,,,,,,,,635,"329,814",,12.16%,24.78%,-6.85%,-25.87%,11.25%, -   ,867,"75,466"," $103,774.92 ",12.01%,0.84%,0.195964629,0.114035088, $119.69 , $163.43 
2016-09-28," $1,934 ", 122 , 658 , 2 , 151 , 660 ,-27.17741935," $85,017 ", 627 ," 6,050 ", 48 ," 5,589 "," 6,098 ",-116.4227835," $9,705 ", 115 , 713 , 5 , 704 , 718 ,-48.42314286, $340 , 13 , 31 , 2 , 27 , 33 ,-7.913333333, $358 , 4 , 36 , 0 , 23 , 36 ,-14.2125,,,,,,,,638,"355,707",,-21.67%,-13.42%,2.95%,-22.04%,10.54%, -   ,824,"80,431"," $93,746.53 ",-2.56%,0.79%,-0.136863518,-0.111420613, $113.77 , $146.94 
2016-09-29," $3,355 ", 164 , 839 , 1 , 259 , 840 ,-35.76194444," $109,057 ", 832 ," 7,570 ", 33 ," 7,402 "," 7,603 ",-118.2707519," $12,619 ", 174 , 819 , 2 , 858 , 821 ,-77.29244444, $145 , 6 , 17 , -   , 10 , 17 ,-7.523333333, $654 , 6 , 65 , -   , 31 , 65 ,-15.465,,,,,,,,826,"372,542",,19.16%,17.02%,-2.33%,-25.20%,-1.80%, -   ,"1,138","85,070"," $122,661.33 ",-0.55%,0.97%,0.204674448,0.176638177, $107.79 , $148.50 
2016-09-30," $1,421 ", 104 , 531 , 1 , 104 , 532 ,-34.90214286," $110,297 ", 890 ," 7,441 ", 45 ," 7,505 "," 7,483 ",-169.9195313," $12,636 ", 130 , 704 , 1 , 747 , 705 ,-91.96842105, $28 , 1 , 4 , -   , -   , 4 ,0.0, $537 , 5 , 36 , -   , 42 , 36 ,-8.6025,,,,,,,,770,"325,791",,25.53%,25.15%,-15.37%,-36.95%,-0.30%, -   ,"1,072","75,441"," $119,255.73 ",4.51%,1.02%,0.41491493,0.197511664, $111.25 , $154.88 
2016-10-01," $2,363 ", 126 , 656 , 4 , 192 , 660 ,-26.16322581," $95,631 ", 703 ," 6,346 ", 16 ," 6,910 "," 6,362 ",-93.0107563," $8,030 ", 112 , 675 , -   , 530 , 675 ,-37.18694444, $29 , 2 , 24 , -   , 2 , 24 ,-13.35, $35 , 1 , 5 , -   , 4 , 5 ,-14.97,,,,,,,,693,"367,102",,-8.88%,-4.47%,-14.99%,-36.17%,4.84%, -   ,923,"79,840"," $105,400.76 ",2.15%,0.87%,0.100186862,-0.064777328, $114.19 , $152.09 
2016-10-02," $2,874 ", 137 , 570 , 4 , 195 , 574 ,-24.51541667," $104,122 ", 757 ," 6,753 ", 23 ," 6,868 "," 6,775 ",-94.72296," $11,476 ", 137 , 870 , 4 , 773 , 875 ,-39.23955556, $93 , 4 , 13 , -   , 2 , 13 ,-9.515, $442 , 4 , 18 , -   , 34 , 18 ,-8.808333333,,,,,,,,749,"425,563",,-3.25%,-0.20%,-19.45%,-36.65%,3.15%, -   ,"1,011","89,859"," $118,847.27 ",6.06%,0.83%,0.168101648,-0.059045226, $117.55 , $158.67 
2016-10-03," $2,688 ", 153 , 730 , 4 , 231 , 734 ,-31.42111111," $131,417 ", 957 ," 8,787 ", 46 ," 9,221 "," 8,833 ",-100.2032857," $10,092 ", 127 , 655 , -   , 541 , 655 ,-44.9569697, $82 , 4 , 19 , -   , 4 , 19 ,-10.00666667, $242 , 4 , 24 , -   , 20 , 24 ,-15.7425,,,,,,,,907,"399,422",,5.63%,12.86%,-8.73%,-28.52%,6.85%, -   ,"1,182","86,774"," $138,949.81 ",0.17%,1.05%,0.234517524,0.126708075, $117.55 , $153.20 
2016-10-04," $2,571 ", 150 , 658 , 3 , 215 , 661 ,-27.8334375," $126,780 ", 875 ," 8,038 ", 40 ," 8,525 "," 8,078 ",-96.14213793," $11,832 ", 131 , 730 , 5 , 930 , 735 ,-85.57085714, $82 , 4 , 8 , -   , 8 , 8 ,-30.36, $216 , 2 , 24 , -   , 31 , 24 ,-4.78,,,,,,,,798,"384,316",,15.10%,33.58%,-15.51%,-30.67%,16.05%, -   ,"1,067","83,971"," $134,262.31 ",14.83%,0.95%,0.376798209,0.163265306, $125.83 , $168.25 
2016-10-05," $1,366 ", 114 , 574 , 2 , 120 , 575 ,-23.33148148," $111,853 ", 789 ," 7,195 ", 30 ," 7,466 "," 7,225 ",-81.95992063," $7,699 ", 84 , 566 , 3 , 500 , 569 ,-30.06611111, $23 , 1 , 5 , -   , 2 , 5 ,-4.98, $639 , 7 , 52 , 0 , 48 , 52 ,-14.40714286,,,,,,,,719,"378,942",,12.81%,17.99%,-15.94%,-35.00%,4.59%, -   ,916,"85,802"," $110,222.55 ",1.09%,0.84%,0.388536791,0.167207792, $120.33 , $153.30 
2016-10-06," $3,152 ", 203 , 779 , 4 , 244 , 784 ,-49.14727273," $120,134 "," 1,071 "," 9,542 ", 49 ," 7,955 "," 9,591 ",-218.980719," $19,530 ", 280 ," 1,472 ", 5 ," 1,282 "," 1,477 ",-193.1556364, $164 , 9 , 19 , -   , 9 , 19 ,-21.9525," $1,729 ", 28 , 84 , -   , 106 , 84 ,-128.7485714,,,,,,,,"1,066","400,471",,-22.41%,-18.14%,-19.79%,-40.74%,5.51%, -   ,"1,485","86,906"," $138,505.08 ",2.36%,1.23%,-0.002983831,-0.200300075, $93.27 , $129.93 
2016-10-07," $3,133 ", 198 , 805 , 1 , 238 , 806 ,-66.8383871," $132,547 "," 1,132 "," 10,333 ", 50 ," 8,860 "," 10,383 ",-198.4862651," $14,390 ", 192 ," 1,067 ", 1 , 989 ," 1,068 ",-166.828, $97 , 6 , 34 , 1 , 4 , 35 ,-17.77, $525 , 10 , 83 , -   , 38 , 83 ,-42.2,,,,,,,,"1,099","395,913",,-4.66%,1.03%,-3.57%,-30.70%,5.98%, -   ,"1,451","92,383"," $144,110.59 ",1.03%,1.19%,0.037008974,0.0, $99.32 , $131.13 
2016-10-08," $2,711 ", 185 , 760 , 2 , 266 , 762 ,-40.80113636," $122,050 "," 1,095 "," 9,347 ", 33 ," 8,624 "," 9,380 ",-183.7785311," $18,503 ", 236 ," 1,263 ", 3 ," 1,304 "," 1,266 ",-168.1729091, $270 , 16 , 74 , 2 , 26 , 76 ,-17.774, $755 , 13 , 56 , -   , 64 , 56 ,-118.6528571,,,,,,,,"1,070","433,672",,6.54%,7.47%,-1.63%,-26.10%,0.87%, -   ,"1,499","96,944"," $142,207.66 ",-0.67%,1.10%,0.099801647,0.08190091, $94.87 , $132.90 
2016-10-09," $5,348 ", 349 ," 1,358 ", 2 , 448 ," 1,360 ",-74.24568627," $160,372 "," 1,446 "," 12,763 ", 34 ," 10,163 "," 12,796 ",-249.5465217," $24,520 ", 350 ," 1,705 ", 0 ," 1,550 "," 1,706 ",-207.6513846, $276 , 17 , 74 , 0 , 17 , 74 ,-16.66583333, $661 , 15 , 84 , -   , 53 , 84 ,-51.085,,,,,,,,"1,506","554,881",,7.19%,3.54%,4.98%,-24.97%,-3.40%, -   ,"2,088","123,061"," $190,220.15 ",-2.44%,1.22%,0.010996815,0.061310782, $91.10 , $126.31 
2016-10-10," $4,787 ", 316 ," 1,183 ", 1 , 407 ," 1,185 ",-77.452," $190,663 "," 1,737 "," 14,679 ", 54 ," 12,706 "," 14,733 ",-247.3184163," $25,036 ", 351 ," 1,743 ", 10 ," 1,449 "," 1,752 ",-179.2914474, $279 , 16 , 50 , -   , 19 , 50 ,-28.11333333, $877 , 15 , 82 , -   , 105 , 82 ,-61.17,,,,,,,,"1,667","550,007",,-17.25%,-16.92%,4.33%,-23.55%,0.40%, -   ,"2,322","123,008"," $216,632.61 ",-3.26%,1.36%,-0.176786255,-0.141164348, $93.30 , $129.95 
2016-10-11," $3,480 ", 307 ," 1,240 ", 4 , 311 ," 1,244 ",-63.39065217," $168,141 "," 1,596 "," 13,934 ", 65 ," 11,256 "," 14,000 ",-266.6965534," $24,716 ", 355 ," 1,857 ", 5 ," 1,607 "," 1,862 ",-221.8073438, $171 , 10 , 24 , -   , 59 , 24 ,-15.58571429, $748 , 11 , 68 , -   , 70 , 68 ,-50.3,,,,,,,,"1,548","522,783",,78.16%,47.33%,20.49%,-3.46%,-17.30%, -   ,"2,154","114,742"," $190,696.15 ",-20.81%,1.35%,0.544183824,0.860576923, $88.53 , $123.19 
2016-10-12," $6,120 ", 487 ," 1,604 ", 1 , 532 ," 1,605 ",-86.40515625," $277,706 "," 2,263 "," 18,304 ", 66 ," 18,880 "," 18,371 ",-280.3255777," $37,923 ", 504 ," 2,396 ", 8 ," 2,422 "," 2,404 ",-261.0912658, $242 , 14 , 42 , 0 , 9 , 42 ,-29.948," $1,623 ", 26 , 133 , 0 , 131 , 133 ,-67.27230769,,,,,,,,"2,185","564,569",,224.61%,192.38%,26.02%,8.24%,-9.93%, -   ,"3,139","118,266"," $317,162.91 ",-13.29%,1.85%,1.675782469,2.37191358, $101.04 , $145.15 
2016-10-13," $3,789 ", 212 , 902 , 3 , 332 , 906 ,-35.29627907," $146,784 "," 1,063 "," 9,035 ", 74 ," 9,743 "," 9,108 ",-129.8484173," $10,701 ", 123 , 606 , 0 , 674 , 606 ,-89.89125, $249 , 13 , 30 , -   , 21 , 30 ,-14.296, $822 , 11 , 91 , 1 , 77 , 92 ,-23.78875,,,,,,,,961,"444,957",,58.51%,72.98%,6.30%,-11.24%,9.13%, -   ,"1,341","96,246"," $156,840.04 ",11.42%,1.00%,0.460462935,0.552504039, $116.96 , $163.21 
2016-10-14," $2,335 ", 159 , 637 , 2 , 188 , 639 ,-20.10258065," $132,241 ", 949 ," 7,902 ", 51 ," 9,074 "," 7,953 ",-102.4547619," $11,267 ", 132 , 690 , 7 , 900 , 697 ,-34.44911765, $79 , 4 , 10 , -   , 2 , 10 ,-3.555, $53 , 1 , 10 , -   , 6 , 10 ,-16.95,,,,,,,,856,"419,599",,47.53%,57.28%,-20.71%,-37.58%,6.61%, -   ,"1,133","92,967"," $138,480.68 ",5.83%,0.92%,0.874251676,0.486111111, $122.22 , $161.78 
2016-10-15," $2,023 ", 113 , 575 , 3 , 150 , 578 ,-21.3062069," $108,111 ", 776 ," 6,733 ", 35 ," 7,712 "," 6,768 ",-86.13275862," $7,742 ", 75 , 404 , 3 , 563 , 407 ,-18.47368421,,,,,,,, $78 , 1 , 12 , -   , 9 , 12 ,-21.95,,,,,,,,732,"430,349",,47.35%,51.37%,-40.92%,-55.05%,2.73%, -   ,946,"94,718"," $117,353.88 ",3.19%,0.77%,1.483169426,0.466933868, $124.05 , $160.32 
2016-10-16," $2,330 ", 128 , 644 , 2 , 214 , 646 ,-18.24470588," $127,095 ", 884 ," 7,818 ", 55 ," 8,651 "," 7,872 ",-84.68055172," $13,212 ", 120 , 761 , 1 ," 1,078 ", 761 ,-32.7, $89 , 4 , 45 , -   , 6 , 45 ,-5.675, $131 , 2 , 14 , -   , 6 , 14 ,-6.965,,,,,,,,868,"508,745",,0.74%,9.42%,-33.58%,-50.01%,8.62%, -   ,"1,089","111,290"," $139,350.42 ",1.61%,0.78%,0.621480954,0.076923077, $127.96 , $160.54 
2016-10-17," $2,718 ", 128 , 858 , 6 , 263 , 864 ,-22.34411765," $118,970 ", 864 ," 8,010 ", 49 ," 8,421 "," 8,059 ",-97.0444186," $9,998 ", 100 , 659 , 2 , 658 , 661 ,-50.92368421, $97 , 4 , 12 , -   , 6 , 12 ,-4.91, $163 , 2 , 17 , -   , 11 , 17 ,-8.46,,,,,,,,836,"419,773",,-5.50%,-4.14%,-30.50%,-48.38%,1.43%, -   ,"1,048","96,246"," $128,455.61 ",-6.32%,0.87%,0.472412022,0.023255814, $122.57 , $153.66 
2016-10-18," $2,653 ", 132 , 684 , -   , 261 , 684 ,-21.40352941," $115,980 ", 802 ," 7,581 ", 56 ," 8,048 "," 7,637 ",-93.00696429," $6,547 ", 72 , 483 , -   , 643 , 483 ,-21.02363636, $13 , 1 , 12 , -   , -   , 12 ,-14.75, $289 , 3 , 27 , -   , 20 , 27 ,-20.465,,,,,,,,743,"400,536",,-10.25%,-1.13%,-26.43%,-44.36%,10.16%, -   ,937,"92,558"," $118,601.16 ",1.66%,0.80%,0.321883567,-0.027486911, $126.58 , $159.62 
2016-10-19," $1,859 ", 114 , 651 , 4 , 193 , 655 ,-19.00424242," $105,111 ", 737 ," 7,135 ", 52 ," 7,446 "," 7,187 ",-79.43398496," $9,488 ", 106 , 532 , 0 , 576 , 532 ,-27.3340625, $113 , 5 , 21 , -   , 7 , 21 ,-6.705, $204 , 4 , 22 , -   , 16 , 22 ,-17.93666667,,,,,,,,683,"360,530",,-7.88%,-1.15%,-26.98%,-43.09%,7.30%, -   ,889,"83,904"," $107,237.70 ",-0.71%,0.81%,0.363492801,-0.004373178, $120.63 , $157.01 
2016-10-20," $2,368 ", 125 , 695 , 4 , 252 , 699 ,-21.215625," $127,648 ", 892 ," 8,426 ", 67 ," 8,945 "," 8,492 ",-97.44669065," $7,522 ", 115 , 584 , 1 , 475 , 585 ,-78.455625, $74 , 3 , 16 , -   , 7 , 16 ,-4.975, $320 , 4 , 49 , -   , 18 , 49 ,-7.4725,,,,,,,,795,"414,281",,19.31%,22.79%,1.53%,1.16%,2.92%, -   ,"1,032","96,115"," $125,389.32 ",1.32%,0.83%,0.193620162,0.211890244, $121.50 , $157.72 
2016-10-21," $2,610 ", 132 , 626 , 3 , 420 , 629 ,-18.025," $158,759 "," 1,081 "," 9,996 ", 55 ," 11,434 "," 10,047 ",-110.5505882," $9,722 ", 109 , 646 , 4 , 728 , 650 ,-57.85457143, $15 , 1 , 5 , -   , 1 , 5 ,-7.22, $578 , 5 , 24 , -   , 44 , 24 ,-19.155,,,,,,,,941,"444,631",,44.96%,75.22%,7.68%,12.23%,20.87%, -   ,"1,209","101,139"," $157,097.60 ",11.73%,0.93%,0.456467914,0.568333333, $129.94 , $166.95 
2016-10-22," $1,898 ", 146 , 622 , 1 , 306 , 623 ,-22.93," $120,097 ", 849 ," 7,974 ", 32 ," 8,088 "," 8,006 ",-96.03183206," $8,066 ", 77 , 545 , 3 , 488 , 549 ,-36.63676471, $22 , 1 , 3 , -   , -   , 3 ,-5.79, $190 , 2 , 20 , -   , 6 , 20 ,-9.95,,,,,,,,764,"489,341",,40.11%,64.61%,13.34%,16.33%,17.48%, -   ,985,"108,280"," $127,743.45 ",12.25%,0.71%,0.29380819,0.466410749, $129.69 , $167.20 
2016-10-23," $2,453 ", 165 , 941 , 1 , 186 , 942 ,-29.55486486," $145,629 "," 1,013 "," 9,740 ", 52 ," 9,728 "," 9,791 ",-95.08602837," $10,222 ", 125 , 745 , -   , 640 , 745 ,-38.25117647,,,,,,,, $140 , 3 , 30 , -   , 13 , 30 ,-36.61666667,,,,,,,,977,"556,488",,9.01%,27.34%,9.26%,11.93%,16.82%, -   ,"1,246","120,660"," $162,679.08 ",1.41%,0.81%,0.149366094,0.255784062, $130.56 , $166.51 
2016-10-24," $2,957 ", 187 ," 1,066 ", 6 , 229 ," 1,073 ",-23.65386364," $150,862 "," 1,074 "," 10,336 ", 91 ," 10,616 "," 10,426 ",-81.14685714," $14,728 ", 131 , 825 , 3 ," 1,171 ", 828 ,-34.0406,,,,,,,, $297 , 3 , 32 , -   , 32 , 32 ,-19.45,,,,,,,,975,"474,912",,16.95%,43.96%,13.66%,12.43%,23.10%, -   ,"1,242","110,812"," $164,583.15 ",8.67%,0.88%,0.165479216,0.324728261, $132.51 , $168.80 
2016-10-25," $4,119 ", 218 ," 1,037 ", 2 , 298 ," 1,040 ",-28.56692308," $151,433 "," 1,079 "," 10,274 ", 94 ," 10,597 "," 10,368 ",-101.9692169," $18,795 ", 194 ," 1,321 ", 10 ," 1,266 "," 1,331 ",-93.29913793, $115 , 5 , 19 , -   , 4 , 19 ,-8.283333333, $218 , 3 , 24 , -   , 20 , 24 ,-9.9,,,,,,,,995,"533,736",,48.18%,68.50%,25.94%,23.96%,13.72%, -   ,"1,341","126,886"," $168,645.95 ",14.31%,0.78%,0.170490513,0.474074074, $125.76 , $169.49 
2016-10-26," $3,702 ", 190 , 884 , 2 , 391 , 886 ,-33.97083333," $134,465 ", 986 ," 9,574 ", 60 ," 9,344 "," 9,634 ",-95.141875," $15,654 ", 145 , 792 , 4 ," 1,238 ", 796 ,-79.70325581, $63 , 3 , 15 , -   , 4 , 15 ,-10.575, $353 , 3 , 22 , -   , 9 , 22 ,-7.3,,,,,,,,875,"489,690",,22.23%,34.73%,12.15%,13.81%,10.22%, -   ,"1,171","114,330"," $146,011.83 ",10.25%,0.77%,0.089631015,0.222067039, $124.69 , $166.87 
2016-10-27," $4,981 ", 205 ," 1,042 ", 5 , 437 ," 1,047 ",-28.83439024," $142,407 "," 1,027 "," 9,722 ", 83 ," 10,320 "," 9,805 ",-106.7321333," $14,057 ", 127 , 823 , 3 ," 1,034 ", 825 ,-43.6, $230 , 9 , 39 , -   , 5 , 39 ,-5.5475, $456 , 6 , 32 , -   , 38 , 32 ,-25.3825,,,,,,,,897,"478,016",,42.18%,52.66%,14.34%,17.20%,7.37%, -   ,"1,227","111,178"," $157,918.94 ",11.99%,0.81%,0.192233657,0.363221884, $128.70 , $176.05 
2016-10-28," $5,104 ", 225 ," 1,261 ", 6 , 291 ," 1,267 ",-40.50818182," $134,943 ", 960 ," 8,957 ", 57 ," 9,266 "," 9,015 ",-112.80625," $9,780 ", 114 , 778 , 3 , 682 , 781 ,-54.52966667, $38 , 2 , 15 , -   , 2 , 15 ,-8.86, $148 , 2 , 20 , -   , 15 , 20 ,-10.8,,,,,,,,855,"436,779",,35.45%,45.37%,15.19%,17.66%,7.33%, -   ,"1,154","103,679"," $144,887.33 ",8.64%,0.82%,0.161610138,0.338028169, $125.55 , $169.46 
2016-10-29," $2,832 ", 172 , 790 , 0 , 191 , 790 ,-31.28176471," $112,382 ", 823 ," 7,532 ", 39 ," 7,949 "," 7,570 ",-104.1235036," $8,399 ", 108 , 552 , 2 , 580 , 554 ,-45.9024, $120 , 5 , 21 , -   , 4 , 21 ,-6.733333333, $288 , 3 , 25 , -   , 20 , 25 ,-11.21,,,,,,,,755,"426,589",,31.92%,51.91%,17.37%,19.18%,15.15%, -   ,"1,029","99,798"," $128,145.98 ",12.28%,0.76%,0.152783551,0.353046595, $124.53 , $169.73 
2016-10-30," $2,266 ", 216 ," 1,002 ", 0 , 183 ," 1,003 ",-38.50225806," $139,886 ", 996 ," 9,217 ", 53 ," 9,335 "," 9,270 ",-102.034702," $13,578 ", 146 , 769 , 4 ," 1,092 ", 773 ,-94.64742857, $120 , 5 , 12 , -   , 3 , 12 ,-6.653333333, $472 , 5 , 35 , -   , 31 , 35 ,-19.41,,,,,,,,962,"494,968",,29.94%,41.40%,-1.44%,0.54%,8.82%, -   ,"1,315","110,397"," $161,255.55 ",12.45%,0.87%,0.275946745,0.25751634, $122.63 , $167.63 
2016-10-31," $3,719 ", 206 ," 1,009 ", 5 , 324 ," 1,014 ",-32.45947368," $140,414 "," 1,016 "," 9,758 ", 76 ," 9,630 "," 9,832 ",-94.56214286," $13,567 ", 111 , 722 , -   ," 1,090 ", 722 ,-48.9955814, $60 , 3 , 17 , -   , 3 , 17 ,-9.415, $214 , 3 , 16 , -   , 17 , 16 ,-8.806666667,,,,,,,,910,"409,248",,19.11%,35.15%,-9.25%,-6.43%,13.46%, -   ,"1,184","95,069"," $154,963.53 ",14.36%,0.96%,0.302238852,0.181818182, $130.88 , $170.29 
2016-11-01," $2,455 ", 177 ," 1,072 ", 4 , 243 ," 1,076 ",-39.18677419," $164,271 "," 1,156 "," 11,982 ", 79 ," 11,538 "," 12,061 ",-123.571118," $12,745 ", 126 , 764 , 6 , 815 , 769 ,-41.64, $51 , 2 , 5 , -   , 2 , 5 ,-2.405, $212 , 2 , 18 , -   , 10 , 18 ,-8.96,,,,,,,,995,"441,838",,21.50%,50.30%,-12.45%,-3.09%,23.70%, -   ,"1,249","98,376"," $169,579.20 ",14.65%,1.01%,0.49733624,0.310935441, $135.77 , $170.43 
2016-11-02," $2,579 ", 198 ," 1,143 ", 2 , 274 ," 1,145 ",-31.44525," $141,642 "," 1,033 "," 10,311 ", 56 ," 9,724 "," 10,366 ",-98.04331169," $11,618 ", 112 , 681 , 3 , 770 , 684 ,-39.53, $69 , 3 , 12 , -   , 7 , 12 ,-7.375, $452 , 4 , 42 , -   , 42 , 42 ,-31.664,,,,,,,,900,"448,208",,21.04%,34.00%,-9.30%,-4.42%,10.71%, -   ,"1,168","103,401"," $149,070.96 ",6.75%,0.87%,0.383883899,0.255230126, $127.63 , $165.63 
2016-11-03," $3,222 ", 182 ," 1,017 ", 2 , 193 ," 1,019 ",-36.682," $165,027 "," 1,122 "," 11,364 ", 41 ," 10,987 "," 11,405 ",-115.6244828," $13,069 ", 127 , 848 , 6 , 821 , 853 ,-53.031875, $23 , 1 , 2 , -   , -   , 2 ,-5.19, $101 , 1 , 12 , -   , 10 , 12 ,-24.45,,,,,,,,976,"448,810",,16.96%,45.28%,-3.42%,0.76%,24.21%, -   ,"1,248","104,419"," $175,187.46 ",11.19%,0.93%,0.35281888,0.306559572, $140.37 , $179.50 
